attack,n,successes,asr,n_clean_prob_le_0_60,successes_clean_prob_le_0_60,n_clean_prob_gt_0_80,successes_clean_prob_gt_0_80,asr_clean_prob_gt_0_80,min_clean_toxic_prob,median_clean_toxic_prob
TokenBreak,156,150,0.9615384615384616,10,10,128,123,0.9609375,0.5309591889381409,0.9365092813968658
AdvTok,156,150,0.9615384615384616,10,10,128,123,0.9609375,0.5309590101242065,0.9365093410015106
Unicode invisible,156,0,0.0,10,0,128,0,0.0,0.5309591889381409,0.9365092813968658
Unicode homoglyph,156,134,0.8589743589743589,10,10,128,108,0.84375,0.5309591889381409,0.9365092813968658
Unicode compatibility,156,142,0.9102564102564102,10,10,128,115,0.8984375,0.5309591889381409,0.9365092813968658
Unicode reorder,156,138,0.8846153846153846,10,10,128,112,0.875,0.5309591889381409,0.9365092813968658
