attack,defence,n_clean_retained,paired_undefended_asr,paired_defended_asr,asr_reduction_pp,asr_reduction_ci_low_pp,asr_reduction_ci_high_pp,clean_retention,attack_detection_rate,attack_block_rate,reencode_rate,coverage_status,mechanism_note
TokenBreak,Tokenizer translation,127,0.952755905511811,0.4645669291338583,48.81889763779528,40.15748031496062,57.48031496062993,0.8141025641025641,0.0,0.0,0.0,PARTIAL,
TokenBreak,Canonical reject,156,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
TokenBreak,Canonical replace,156,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
TokenBreak,Unicode sanitiser,156,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
TokenBreak,NFKC + confusables,156,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
TokenBreak,Global CPT,149,0.959731543624161,0.8456375838926175,11.409395973154355,6.711409395973156,16.778523489932883,0.9551282051282052,0.1538461538461538,0.1538461538461538,0.0,PARTIAL,
TokenBreak,Window CPT,151,0.9668874172185432,0.9668874172185432,0.0,0.0,0.0,0.967948717948718,0.032051282051282,0.032051282051282,0.0,NO CLEAR EFFECT,
AdvTok,Tokenizer translation,138,0.9565217391304348,0.0,95.65217391304348,92.02898550724638,98.55072463768116,0.8846153846153846,0.0,0.0,1.0,COMPLETE,reencode
AdvTok,Canonical reject,156,0.9615384615384616,0.0,96.15384615384616,92.94871794871796,98.71794871794872,1.0,1.0,1.0,0.0,COMPLETE,detect+block
AdvTok,Canonical replace,156,0.9615384615384616,0.0,96.15384615384616,92.94871794871796,98.71794871794872,1.0,1.0,0.0,0.0,COMPLETE,detect/repair
AdvTok,Unicode sanitiser,156,0.9615384615384616,0.0,96.15384615384616,92.94871794871796,98.71794871794872,1.0,0.0,0.0,1.0,COMPLETE,reencode
AdvTok,NFKC + confusables,156,0.9615384615384616,0.0,96.15384615384616,92.94871794871796,98.71794871794872,1.0,0.0,0.0,1.0,COMPLETE,reencode
AdvTok,Global CPT,150,0.9666666666666668,0.0266666666666666,94.0,90.0,97.33333333333334,0.9615384615384616,0.9551282051282052,0.9551282051282052,0.0,PARTIAL,detect+block
AdvTok,Window CPT,151,0.9668874172185432,0.8410596026490066,12.58278145695365,7.947019867549665,17.88079470198676,0.967948717948718,0.1538461538461538,0.1538461538461538,0.0,PARTIAL,
Unicode compatibility,Tokenizer translation,127,0.889763779527559,0.0,88.9763779527559,83.46456692913385,93.7007874015748,0.8141025641025641,0.0,0.0,0.0,COMPLETE,
Unicode compatibility,Canonical reject,156,0.9102564102564102,0.9102564102564102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode compatibility,Canonical replace,156,0.9102564102564102,0.9102564102564102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode compatibility,Unicode sanitiser,156,0.9102564102564102,0.9102564102564102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode compatibility,NFKC + confusables,156,0.9102564102564102,0.0,91.02564102564102,85.8974358974359,95.51282051282053,1.0,1.0,0.0,0.0,COMPLETE,detect/repair
Unicode compatibility,Global CPT,149,0.906040268456376,0.8993288590604027,0.6711409395973145,0.0,2.0134228187919545,0.9551282051282052,0.032051282051282,0.032051282051282,0.0,NO CLEAR EFFECT,
Unicode compatibility,Window CPT,151,0.9205298013245032,0.9205298013245032,0.0,0.0,0.0,0.967948717948718,0.032051282051282,0.032051282051282,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Tokenizer translation,127,0.8346456692913385,0.7401574803149606,9.44881889763779,3.149606299212604,15.748031496062998,0.8141025641025641,0.0,0.0,0.0,PARTIAL,
Unicode homoglyph,Canonical reject,156,0.8589743589743589,0.8589743589743589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Canonical replace,156,0.8589743589743589,0.8589743589743589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Unicode sanitiser,156,0.8589743589743589,0.8589743589743589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,NFKC + confusables,156,0.8589743589743589,0.0,85.8974358974359,80.12820512820514,91.02564102564102,1.0,1.0,0.0,0.0,COMPLETE,detect/repair
Unicode homoglyph,Global CPT,149,0.8590604026845637,0.697986577181208,16.10738255033557,10.738255033557042,22.14765100671141,0.9551282051282052,0.1987179487179487,0.1987179487179487,0.0,PARTIAL,
