sample_id,eligible_wordpiece,eligible_bpe,eligible_unigram,eligible_all_three
ec47907fc000df7c,0,1,1,0
ab578af26ddc123c,1,1,1,1
6f31617f31e0cfb2,1,1,1,1
5cba9cd8fbc78652,1,1,1,1
5bfef90878ed50c6,1,1,1,1
5a7e8ceb029dea6d,1,1,1,1
fd3d00747e3eb9f8,1,1,1,1
5ffd5238aad3e57b,1,1,1,1
ad0f6c531c69486a,0,1,1,0
f494f50b232f73c7,0,1,1,0
899c7847276f2f8d,1,1,1,1
cd162597d107aa84,1,1,1,1
22f4df4716f01da9,0,0,1,0
0fc49e5cfe469a2a,1,1,1,1
bb0cab63b455fae3,1,1,1,1
b2f24891eda51893,1,1,1,1
b7aec72c71b55f74,0,1,1,0
63003a1de438018e,0,0,1,0
170929db1a6480fa,0,0,1,0
4efa858ca91d25f3,1,1,1,1
39c0c256e8df95ae,1,1,1,1
24da134e2415e104,0,1,1,0
0c5a912e6830c660,1,1,1,1
48642ba4cc134105,1,1,1,1
a84e93588e24bd35,0,1,1,0
2f784baa117cfef7,0,1,1,0
7d4471520eaa8399,0,1,1,0
910078a392ac64ee,1,1,1,1
f938d1c3f333b812,1,0,1,0
228f8ad6f583e166,0,1,1,0
f3c18e07ae11e14a,0,1,1,0
469200fa9128e500,1,1,1,1
f4ede3e1d9f8307c,0,0,1,0
87bf4b1598a5ceea,0,1,1,0
b00ced343a0c5d8b,1,1,1,1
32a6bdbfc270ebc1,0,1,1,0
e1416bf0b4bbfd24,1,1,1,1
f2449d8650bc2b2b,0,1,1,0
4143fbacd89b2986,1,1,1,1
43cebe6cb333e734,1,1,1,1
4a8752836cbb8ee0,1,1,1,1
5154c3f8c49a531b,1,1,1,1
3326ed3c80453415,0,1,1,0
ba67aea28f1a9d5a,1,1,1,1
f825c50095298a14,0,1,1,0
0736f41031851cf0,0,0,0,0
1b6afbaf477c139b,0,1,1,0
b4859d3e11e4ceec,0,1,1,0
66c7ad15b405ef2b,1,1,1,1
0af8e43476845e56,1,1,1,1
95ef75f427acf65b,1,1,1,1
799e117a87dec3be,1,1,1,1
85c0c3ce1efb9252,1,1,1,1
9e206327d0dc03a9,0,0,0,0
a2562a80cb721a7b,1,1,1,1
9487e0f1b91d0d90,1,1,1,1
509699c602b03a52,0,1,1,0
182050607022d1ed,1,1,1,1
d1110f84f4da860a,0,0,1,0
00dc0760994133ff,1,1,1,1
10293437c5ca3b12,1,1,1,1
17d2a1d2147f897f,1,1,1,1
703b4ea98127e95d,1,1,1,1
ed9e425b405d254d,1,1,1,1
8b26daa7788361a7,1,1,1,1
1cc10d6084b1d6d0,0,1,1,0
c530ff93bcc45cd1,1,1,1,1
d7ae29b5af48fdcd,1,1,1,1
c6cc8c90c8a5e077,1,1,1,1
ac19d11a7ca70938,0,0,1,0
429787c403a871af,1,1,1,1
6b8ac60d2bf2f408,1,1,1,1
016309265c788dc1,0,0,1,0
3015d850b3e96095,1,1,1,1
9661cdae61b7deac,0,0,1,0
b2d0d32f5f9ef7c9,0,1,1,0
9f18ea70a1ef3640,0,1,1,0
226f59dfdf20b05d,1,1,1,1
1c91ee484107fe93,0,1,1,0
88bd12303d30b83d,1,1,1,1
ea7b1eaefd1d05c8,0,0,1,0
df6e23192e53e200,1,1,1,1
6f85e3180440a535,1,1,1,1
3e58569ec28d3822,1,1,1,1
8227ea683684ed20,1,1,1,1
0a8ff5b15e5089c2,1,1,1,1
4862e6d395b6ab24,1,1,1,1
bc13a27d27894bd4,1,1,1,1
0afe5ebb355dcd84,1,1,1,1
