defence,n,trigger_rate,action_rate,block_rate,representation_change_rate,operational_preservation,model_label_flip_rate,mean_abs_probability_shift,median_latency_ms
tokenizer_translation,600,0.0,0.96,0.0,0.96,0.9866666666666667,0.013333333333333334,0.017333906167283808,0.6672000017715618
canonical_reject,600,0.0,0.0,0.0,0.0,1.0,0.0,3.6851270124316217e-09,0.21459999697981402
canonical_replace,600,0.0,0.0,0.0,0.0,1.0,0.0,3.683186757067839e-09,0.19780000002356246
unicode_sanitise,600,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.0,3.7241261452436445e-09,0.24415000007138588
nfkc_confusable,600,0.18333333333333332,0.18333333333333332,0.0,0.12833333333333333,1.0,0.0,0.00022757776110665873,0.21349999951780774
cpt_global,600,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.0,0.4483333333333333,0.0,3.7109324087699253e-09,0.3103499984717928
cpt_window,600,0.3616666666666667,0.3616666666666667,0.3616666666666667,0.0,0.6383333333333333,0.0,3.2188836485147475e-09,0.3390499987290241
