attack,n,successes,asr_percent,mean_clean_toxic_prob,mean_attacked_toxic_prob,mean_probability_drop,mean_token_edit_distance
TokenBreak,156,150,96.15384615384616,0.8748608116920178,0.06676748273737473,0.808093328954643,21.92948717948718
AdvTok,156,150,96.15384615384616,0.8748608307960706,0.10120774639392782,0.7736530844021428,62.27564102564103
Invisible,156,0,0.0,0.8748608116920178,0.8748608223902874,-1.0698269572935068e-08,0.0
Homoglyph,156,134,85.8974358974359,0.8748608116920178,0.12651633657029981,0.748344475121718,10.884615384615385
Compatibility,156,142,91.02564102564102,0.8748608116920178,0.09427170535379371,0.780589106338224,6.717948717948718
Reorder,156,138,88.46153846153845,0.8748608116920178,0.11159958713725264,0.7632612245547651,11.903846153846153
